Album,Album Artist,Album Rating,Album Rating Computed,Apple Music,Artist,Artwork Count,Bit Rate,Clean,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Explicit,File Folder Count,Genre,Grouping,Kind,Library Folder Count,Location,Loved,Name,Part Of Gapless Album,Persistent ID,Play Count,Play Date,Play Date UTC,Playlist Only,Protected,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Composer,Sort Name,Total Time,Track Count,Track ID,Track Number,Track Type,Year
Eye II Eye,Scorpions,80,,,Scorpions,1,256,,,,Klaus Meine/Rudolf Schenker,2016-04-21T04:03:00Z,2017-08-16T17:06:14Z,,1,,5,Rock,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Scorpions/Eye%20II%20Eye/1-13%20Aleyah.m4p,,Aleyah,,9E9EB48D00077F3D,22,3594194346,2017-11-22T10:19:06Z,,,,60,,1999-03-09T08:00:00Z,44100,9619177,2,2017-10-05T11:47:10Z,,,,,,259826,,1140,13,File,1999
Waking Up,OneRepublic,80,,,OneRepublic,1,256,,,,Klaus Meine/Rudolf Schenker,2017-01-22T08:10:47Z,2017-09-29T05:50:35Z,,1,,5,Pop,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/OneRepublic/Waking%20Up/1-02%20All%20The%20Right%20Moves.m4p,,All The Right Moves,,640B30161D1FE599,5,3598243641,2018-01-08T07:07:21Z,,,,80,,2009-11-17T08:00:00Z,44100,8435621,4,2017-12-10T13:35:48Z,,,,,,239071,11,1142,2,File,2009
Waking Up,OneRepublic,80,,,OneRepublic,1,256,,,,Klaus Meine/Rudolf Schenker,2017-01-22T08:10:47Z,2017-09-29T05:50:35Z,,1,,5,Pop,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/OneRepublic/Waking%20Up/1-07%20All%20This%20Time.m4p,,All This Time,,A2F969FDC1D31BAA,9,3603251251,2018-03-07T06:07:31Z,,,,80,,2009-11-17T08:00:00Z,44100,8458038,1,2017-10-22T16:56:31Z,,,,,,242946,11,1144,7,File,2009
Now 3,Bee Gees,100,,,Bee Gees,1,256,,© Sajith Vijayan,,Klaus Meine/Rudolf Schenker,2017-06-19T16:47:23Z,2018-02-21T20:37:05Z,,1,,5,default,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Bee%20Gees/Now%203/1-07%20Alone.m4p,,Alone,,429F6F245C4A6830,24,3608465480,2018-05-06T13:31:20Z,,,,100,,1997-03-10T08:00:00Z,44100,10248476,1,2017-10-22T16:56:31Z,,,,,,290066,11,1146,7,File,2009
Now 3,Bon Jovi,100,,,Bon Jovi,1,160,,© Sajith Vijayan,,Klaus Meine/Rudolf Schenker,2017-01-22T08:38:35Z,2001-02-24T08:07:18Z,,1,,5,default,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Bee%20Gees/Now%203/1-07%20Alone.m4p,,Always,,FA91041A79979FC4,9,3603047229,2018-03-04T21:27:09Z,,,,100,,1997-03-10T08:00:00Z,44100,7058258,2,2017-10-09T06:34:03Z,,,,,,352496,11,1148,7,Remote,2009
Songs in the Key of Life Disc 2,Stevie Wonder,100,,,Stevie Wonder,1,256,,© Sajith Vijayan,,Stevie Wonder,2017-02-09T18:52:18Z,2018-05-08T11:41:51Z,,1,,5,R&B,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Stevie%20Wonder/Songs%20in%20the%20Key%20of%20Life%20Disc%202/1-06%20As.m4p,,As,,EB0515FAB51B34E0,3,3608319195,2018-05-04T20:53:15Z,,,,100,,2005-10-12T00:00:00Z,44100,15914928,5,2017-12-22T15:56:30Z,,,,,,428462,11,1160,6,File,1976
Revolutions: The Very Best Of Steve Winwood,Steve Winwood,80,,,Steve Winwood,1,256,,© Sajith Vijayan,,Stevie Wonder,2017-01-22T08:10:10Z,2017-08-16T17:08:31Z,,1,,5,Rock,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Steve%20Winwood/Revolutions_%20The%20Very%20Best%20Of%20Steve%20Winw/1-14%20Back%20In%20The%20High%20Life%20Again.m4p,,Back In The High Life Again,,7AA8680C2FEDE882,7,3591331983,2017-10-20T06:13:03Z,,,,80,,2010-01-01T08:00:00Z,44100,9865853,2,2018-05-08T15:49:30Z,,,,,,263960,17,1164,14,File,2010
Crossroads,Bon Jovi,80,,,Bon Jovi,1,128,,ENCODED BY RGFC (ICQ 5758811),,Stevie Wonder,2017-01-22T08:39:09Z,2002-11-27T09:24:38Z,,1,,5,Pop,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Steve%20Winwood/Revolutions_%20The%20Very%20Best%20Of%20Steve%20Winw/1-14%20Back%20In%20The%20High%20Life%20Again.m4p,,Bed of Roses,,43A91998ED62FC17,9,3608460659,2018-05-06T12:10:59Z,,,,80,,2010-01-01T08:00:00Z,44100,6315579,2,2018-05-08T15:49:30Z,,,,,,395337,17,1166,14,Remote,1998
Believe,Cher,80,,,Cher,1,256,,ENCODED BY RGFC (ICQ 5758811),,Brian Higgins/Matthew Gray/Paul Barry/Steve Torch/Stuart McLennan/Timothy Powell,2017-02-09T18:52:18Z,2017-08-16T17:09:10Z,,1,,5,Pop,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Cher/Believe/Believe.m4p,,Believe,,5C6477093B87C377,6,3594575673,2017-11-26T20:14:33Z,,,,80,,1998-10-26T08:00:00Z,44100,8588943,1,2018-01-04T23:34:25Z,,,,,,239026,17,1168,14,File,1998
Believe,Bon Jovi,80,,,Bon Jovi,1,160,,ENCODED BY RGFC (ICQ 5758811),,Brian Higgins/Matthew Gray/Paul Barry/Steve Torch/Stuart McLennan/Timothy Powell,2017-01-22T08:39:09Z,2001-02-24T03:38:06Z,,1,,5,Pop,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Cher/Believe/Believe.m4p,,Blaze Of Glory,,930BEC3B84880F07,6,3594575673,2017-11-26T20:14:33Z,,,,80,,1998-10-26T08:00:00Z,44100,6857638,1,2017-10-23T16:37:08Z,,,,,,342465,17,1174,14,Remote,1998
Believe,Guns 'n' Roses,80,,,Guns N' Roses,1,128,,ENCODED BY RGFC (ICQ 5758811),,Brian Higgins/Matthew Gray/Paul Barry/Steve Torch/Stuart McLennan/Timothy Powell,2017-05-29T05:09:27Z,2017-07-28T17:21:44Z,,1,,5,Classical,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Cher/Believe/Believe.m4p,,Civil War,,64497378A774EE82,3,3598928505,2018-01-16T05:21:45Z,,,,80,,1998-10-26T08:00:00Z,44100,7400513,1,2017-10-23T16:37:08Z,,,,,,462524,17,1178,14,Remote,1991
Waking Up,OneRepublic,80,,,OneRepublic,1,256,,ENCODED BY RGFC (ICQ 5758811),,Brian Higgins/Matthew Gray/Paul Barry/Steve Torch/Stuart McLennan/Timothy Powell,2017-01-22T08:10:32Z,2018-05-06T09:58:47Z,,1,,5,Pop,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/OneRepublic/Waking%20Up/1-06%20Good%20Life.m4p,,Good Life,,0D6645514A50B883,9,3598876889,2018-01-15T15:01:29Z,,,,80,,2009-11-17T08:00:00Z,44100,8975913,1,2017-10-23T16:37:08Z,,,,,,253080,11,1218,6,File,2009
title,Bee Gees,80,,,Bee Gees,1,256,,© Sajith Vijayan,,Brian Higgins/Matthew Gray/Paul Barry/Steve Torch/Stuart McLennan/Timothy Powell,2017-06-19T16:47:23Z,2018-05-05T19:40:28Z,,1,,5,genre,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Bee%20Gees/title/1-14%20How%20Deep%20is%20Your%20Love.m4p,,How Deep is Your Love,,501B7B738948FEAF,4,3602683608,2018-02-28T16:26:48Z,,,,80,,2017-04-21T07:00:00Z,44100,9900821,1,2017-09-12T12:29:40Z,,,,,,245066,11,1230,14,File,2017
Humanity: Hour I,Scorpions,80,,,Scorpions,1,256,,© Sajith Vijayan,,Brian Higgins/Matthew Gray/Paul Barry/Steve Torch/Stuart McLennan/Timothy Powell,2017-05-29T05:14:02Z,2017-12-10T12:38:08Z,,1,,5,Rock,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Scorpions/Humanity_%20Hour%20I/1-12%20Humanity.m4p,,Humanity,,A4DB96C5C3FE5ECD,4,3602683608,2018-02-28T16:26:48Z,,,,80,,2007-05-14T07:00:00Z,44100,11200647,1,2017-09-12T12:29:40Z,,,,,,326640,11,1232,12,File,2007
Humanity: Hour I,Fool's Garden,80,,,Fool's Garden,1,256,,© Sajith Vijayan,,Brian Higgins/Matthew Gray/Paul Barry/Steve Torch/Stuart McLennan/Timothy Powell,2017-01-22T08:35:39Z,2017-10-23T19:28:43Z,,1,,5,Rock,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Fool's%20Garden/Unknown%20Album/Lemon%20tree.mp3.m4p,,Lemon tree.mp3,,E5CD8EA3E8412661,25,3606222679,2018-04-10T14:31:19Z,,,,80,,1995-02-01T08:00:00Z,44100,7307896,1,2017-09-12T12:29:40Z,,,,,,190999,11,1254,12,File,2007
Cross Road,Bon Jovi,80,,,Bon Jovi,1,256,,By  Exorcist Jr.,,Brian Higgins/Matthew Gray/Paul Barry/Steve Torch/Stuart McLennan/Timothy Powell,2017-01-22T08:39:09Z,2017-08-23T20:37:08Z,,1,,5,Rock,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Bon%20Jovi/Cross%20Road/Livin'%20on%20a%20prayer.m4p,,Livin' on a prayer,,7FDB9C4EA61111F8,13,3600507202,2018-02-03T11:53:22Z,,,,80,,1986-08-18T07:00:00Z,44100,9208754,2,2018-03-26T17:22:35Z,,,,,,249581,11,1256,12,File,1994
title,Bee Gees,80,,,Bee Gees,1,256,,© Sajith Vijayan,,Brian Higgins/Matthew Gray/Paul Barry/Steve Torch/Stuart McLennan/Timothy Powell,2017-06-19T16:47:23Z,2018-05-05T19:40:29Z,,1,,5,genre,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Bee%20Gees/title/1-15%20More%20Than%20A%20Woman.m4p,,More Than A Woman,,7B8196283CF19F90,6,3594095438,2017-11-21T06:50:38Z,,,,80,,2017-04-21T07:00:00Z,44100,7575988,2,2018-03-26T17:22:35Z,,,,,,197213,11,1278,15,File,2017
title,Bee Gees,80,,,Bee Gees,1,256,,© Sajith Vijayan,,Brian Higgins/Matthew Gray/Paul Barry/Steve Torch/Stuart McLennan/Timothy Powell,2017-06-19T16:47:23Z,2018-05-06T09:59:34Z,,1,,5,genre,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Bee%20Gees/Unknown%20Album/1-01%20New%20York%20Mining%20Disaster%201941.m4p,,New York Mining Disaster 1941,,8D92F545E1253386,4,3596402261,2017-12-17T23:37:41Z,,,,80,,1969-06-01T07:00:00Z,44100,4782737,1,2018-01-21T01:20:09Z,,,,,,129173,11,1284,1,File,2017
Rolling In the Deep - Single,Adele,80,,,Adele,1,256,,© Sajith Vijayan,,Adele Adkins & Paul Epworth,2017-02-09T18:50:34Z,2017-09-29T05:50:33Z,1,1,,5,Pop,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Adele/Rolling%20In%20the%20Deep%20-%20Single/01%20Rolling%20In%20the%20Deep.m4p,,Rolling In the Deep,,DC118D36B70D68B5,7,3608371021,2018-05-05T11:17:01Z,,,,80,,2010-11-29T08:00:00Z,44100,8059617,1,2018-01-21T01:20:09Z,,,,,,228141,1,1316,1,File,2010
Rolling In the Deep - Single,Scorpions,100,,,Scorpions,1,256,,Encoded By rgFc (ICQ 5758811),,Adele Adkins & Paul Epworth,2016-04-21T04:02:38Z,2018-05-05T17:50:10Z,1,1,,5,Blues,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Scorpions/Unknown%20Album/Send%20Me%20an%20Angel.m4p,,Send Me an Angel,,6450AF5DB06E7800,16,3596392399,2017-12-17T20:53:19Z,,,,100,,1990-11-06T08:00:00Z,44100,9494755,5,2017-10-17T19:05:30Z,,,,,,273200,1,1328,1,File,1990
The Official Uk Top 40 Singles Chart 13-01-2013,Various Artists,100,,,Adele,1,256,,www.oldskoolscouse.co.uk,,Adele Adkins & Paul Epworth,2017-02-09T18:50:34Z,2018-05-05T18:35:15Z,1,1,,5,Pop,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Compilations/The%20Official%20Uk%20Top%2040%20Singles%20Chart%2013-/1-18%20Skyfall.m4p,,Skyfall,,518590BD713C6107,5,3602344191,2018-02-24T18:09:51Z,,,,100,,2012-10-05T07:00:00Z,44100,9965955,5,2017-10-17T19:05:30Z,Official Uk Top 40 Singles Chart 13-01-2013,,,,,286081,1,1334,18,File,2012
Eye II Eye,Scorpions,80,,,Scorpions,1,256,,www.oldskoolscouse.co.uk,,Klaus Meine/Rudolf Schenker,2016-04-21T04:03:00Z,2017-10-30T18:07:52Z,1,1,,5,Rock,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Scorpions/Eye%20II%20Eye/1-08%20Skywriter.m4p,,Skywriter,,B573BDB564126857,24,3603171717,2018-03-06T08:01:57Z,,,,80,,1999-03-09T08:00:00Z,44100,10691815,3,2017-10-17T19:05:30Z,Official Uk Top 40 Singles Chart 13-01-2013,,,,,295466,1,1336,8,File,1999
the very best of the BeeGees,Bee Gees,80,,,Bee Gees,1,256,,© Sajith Vijayan,,Klaus Meine/Rudolf Schenker,2017-06-19T16:47:23Z,2018-05-05T19:40:26Z,1,1,,5,genre,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Bee%20Gees/the%20very%20best%20of%20the%20BeeGees/1-16%20Stayin'%20Alive.m4p,,Stayin' Alive,,5C5FBF94E3439F97,4,3608459117,2018-05-06T11:45:17Z,,,,80,,1979-01-01T08:00:00Z,44100,11276941,3,2017-10-17T19:05:30Z,very best of the BeeGees,,,,,285373,1,1342,16,File,1979
Blown Away,Carrie Underwood,80,,,Carrie Underwood,1,256,,© Sajith Vijayan,,Carrie Underwood/Hillary Lindsey/Josh Kear,2017-02-09T18:50:34Z,2017-10-23T19:28:43Z,1,1,,5,Country & Folk,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Carrie%20Underwood/Blown%20Away/1-03%20Two%20Black%20Cadillacs.m4p,,Two Black Cadillacs,,BF3BD10BBEB6664F,5,3602231687,2018-02-23T10:54:47Z,,,,80,,2014-12-09T08:00:00Z,44100,10665124,1,2017-10-17T19:05:30Z,very best of the BeeGees,,,,,298533,1,1364,3,File,1979
"I Dont Know ,Do U ?",USA for Africa,80,,,USA for Africa,1,256,,Encoded By rgFc (ICQ 5758811),,Carrie Underwood/Hillary Lindsey/Josh Kear,2017-01-22T08:36:23Z,2018-05-06T10:39:52Z,1,1,,5,Pop,,Apple Music AAC audio file,1,"file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/USA%20for%20Africa/I%20Dont%20Know%20,Do%20U%20_/We%20Are%20the%20World.m4p",,We Are the World,,B4CD0777235A284B,5,3602231687,2018-02-23T10:54:47Z,,,,80,,1985-03-07T08:00:00Z,44100,14873170,1,2017-10-02T05:55:55Z,very best of the BeeGees,,,,,427333,1,1382,3,File,1985
"I Dont Know ,Do U ?",Scorpions,100,,,Scorpions,1,256,,Encoded By rgFc (ICQ 5758811),,Carrie Underwood/Hillary Lindsey/Josh Kear,2016-04-21T04:02:38Z,2017-09-10T12:30:43Z,1,1,,5,Rock,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Scorpions/Unknown%20Album/When%20you%20came%20into%20my%20life.m4p,,When you came into my life,,A114268E0B5AC389,11,3604502473,2018-03-21T17:41:13Z,,,,100,,2013-11-29T08:00:00Z,44100,12015058,2,2017-08-14T06:26:29Z,very best of the BeeGees,,,,,305013,1,1386,3,File,1985
"I Dont Know ,Do U ?",Scorpions,100,,,Scorpions,1,256,,Encoded By rgFc (ICQ 5758811),,Carrie Underwood/Hillary Lindsey/Josh Kear,2016-04-21T04:02:38Z,2017-11-26T18:25:16Z,1,1,,5,Rock,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Scorpions/Unknown%20Album/Where%20the%20river%20flows.m4p,,Where the river flows,,DDB4ECDA33798920,34,3600109285,2018-01-29T21:21:25Z,,,,100,,2013-11-29T08:00:00Z,44100,9341361,2,2017-11-22T08:51:56Z,very best of the BeeGees,,,,,238520,1,1388,3,File,1985
Crazy World,Scorpions,100,,,Scorpions,1,256,,Encoded By rgFc (ICQ 5758811),,Carrie Underwood/Hillary Lindsey/Josh Kear,2016-04-21T04:02:38Z,2018-05-05T16:15:18Z,1,1,,5,Ballad,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Scorpions/Crazy%20World/Wind%20Of%20Change.m4p,,Wind Of Change,,BE685024DE312F2A,14,3605003431,2018-03-27T11:50:31Z,,,,100,,1990-11-06T08:00:00Z,44100,10971160,6,2017-08-28T16:19:16Z,very best of the BeeGees,,,,,313226,1,1394,3,File,1990
Crazy World,Eric Clapton,100,,,Eric Clapton,1,256,,Encoded By rgFc (ICQ 5758811),,Carrie Underwood/Hillary Lindsey/Josh Kear,2017-01-22T08:31:00Z,2017-08-20T13:59:43Z,1,1,,5,Pop,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Eric%20Clapton/Unknown%20Album/Wonderful%20Tonight.m4p,,Wonderful Tonight,,E201CC85B7D20B62,19,3608401371,2018-05-05T19:42:51Z,,,,100,,2005-01-01T08:00:00Z,44100,8416541,1,2017-08-28T16:19:16Z,very best of the BeeGees,,,,,222626,1,1398,3,File,1990
Humanity: Hour I,Scorpions,100,,,Scorpions,1,256,,Encoded By rgFc (ICQ 5758811),,Carrie Underwood/Hillary Lindsey/Josh Kear,2017-05-29T05:14:02Z,2017-08-16T17:29:01Z,1,1,,5,Rock,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Scorpions/Humanity_%20Hour%20I/1-05%20You're%20Lovin'%20Me%20To%20Death.m4p,,You're Lovin' Me To Death,,8AF94BCC0FBAF6DA,8,3596402486,2017-12-17T23:41:26Z,,,,100,,2007-05-14T07:00:00Z,44100,7089138,1,2017-08-10T12:03:16Z,very best of the BeeGees,,,,,195600,1,1404,5,File,2007
Humanity: Hour I,Scorpions,100,,,Scorpions,1,256,,Encoded By rgFc (ICQ 5758811),,Carrie Underwood/Hillary Lindsey/Josh Kear,2017-05-29T05:14:02Z,2017-08-16T17:28:59Z,1,1,,5,Rock,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Scorpions/Humanity_%20Hour%20I/1-09%20Your%20Last%20Song.m4p,,Your Last Song,,6E4AF7601F13C524,11,3602679765,2018-02-28T15:22:45Z,,,,100,,2007-05-14T07:00:00Z,44100,7936161,1,2017-11-26T19:52:14Z,very best of the BeeGees,,,,,224333,1,1408,9,File,2007
Led Zeppelin,Led Zeppelin,100,,,Led Zeppelin,1,256,,Encoded By rgFc (ICQ 5758811),,Jimmy Page/John Paul Jones,2016-04-21T04:02:38Z,2017-08-16T17:25:43Z,1,1,,5,Rock,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Led%20Zeppelin/Led%20Zeppelin/1-05%20Your%20Time%20Is%20Gonna%20Come.m4p,,Your Time Is Gonna Come,,280202A66D5BEE87,8,3589371450,2017-09-27T13:37:30Z,,,,100,,1969-01-12T08:00:00Z,44100,10537458,3,2017-08-16T05:57:47Z,very best of the BeeGees,,,,,274693,1,1410,5,File,1969
Moving In Stereo: The Best of The Cars,The Cars,100,,,The Cars,1,256,,Encoded By rgFc (ICQ 5758811),,Ric Ocasek,2017-07-28T17:22:43Z,2017-07-28T17:22:43Z,1,1,,5,Pop,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Led%20Zeppelin/Led%20Zeppelin/1-05%20Your%20Time%20Is%20Gonna%20Come.m4p,,You Might Think,,31223991336E696E,1,3595355338,2017-12-05T20:48:58Z,,,,100,,1984-03-13T08:00:00Z,44100,7326762,2,2017-09-08T06:42:08Z,Moving In Stereo: The Best of The Cars,Cars,Cars,,You Might Think,185254,18,1422,4,Remote,1984
An Innocent Man,Billy Joel,100,,,Billy Joel,1,256,,Encoded By rgFc (ICQ 5758811),,Billy Joel,2017-07-28T17:22:50Z,2017-07-28T17:22:50Z,1,1,,5,Rock,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Led%20Zeppelin/Led%20Zeppelin/1-05%20Your%20Time%20Is%20Gonna%20Come.m4p,,The Longest Time,,02FCB323E5A99583,1,3586319268,2017-08-23T05:47:48Z,,,,100,,1983-08-08T07:00:00Z,44100,7712110,2,2017-09-08T06:42:08Z,Innocent Man,Cars,Billy Joel,,Longest Time,223176,10,1424,3,Remote,1983
Purpose (Deluxe),Justin Bieber,100,,,Justin Bieber,1,256,,Encoded By rgFc (ICQ 5758811),,"Justin Bieber, Michael Tucker, Sonny Moore, Julia Michaels & Justin Tranter",2017-07-28T17:22:55Z,2017-07-28T17:22:55Z,1,1,,5,Pop,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Led%20Zeppelin/Led%20Zeppelin/1-05%20Your%20Time%20Is%20Gonna%20Come.m4p,,Sorry,,4B087693D9F0B8EE,4,3592920653,2017-11-07T16:30:53Z,,,,100,,2015-10-23T07:00:00Z,44100,7151375,2,2018-02-19T22:18:29Z,Purpose (Deluxe),Cars,Justin Bieber,,Sorry,200790,18,1426,4,Remote,2015
Oh My My (Deluxe),OneRepublic,100,,,OneRepublic,1,256,,Encoded By rgFc (ICQ 5758811),,"Ryan Tedder, Brent Kutzle & Noel Zancanella",2017-07-28T17:23:07Z,2017-07-28T17:23:07Z,1,1,,5,Pop,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Led%20Zeppelin/Led%20Zeppelin/1-05%20Your%20Time%20Is%20Gonna%20Come.m4p,,Wherever I Go,,5A3FD92B47ED1B25,5,3595016132,2017-12-01T22:35:32Z,,,,100,,2016-05-13T07:00:00Z,44100,6136111,2,2018-02-19T22:18:29Z,Oh My My (Deluxe),Cars,OneRepublic,,Wherever I Go,169773,20,1428,14,Remote,2016
Bouquet - EP,The Chainsmokers,80,,,The Chainsmokers,1,256,,Encoded By rgFc (ICQ 5758811),,Andrew Taggart & Elizabeth M Mencel,2017-07-28T17:23:17Z,2017-09-03T18:13:53Z,1,1,,5,Dance,,Apple Music AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/The%20Chainsmokers/Bouquet%20-%20EP/01%20Roses%20(feat.%20ROZES).m4p,,Roses (feat. ROZES),,E5230B7496CB282C,55,3608381822,2018-05-05T14:17:02Z,,,,80,,2015-06-16T07:00:00Z,44100,7993589,2,2017-11-13T14:44:34Z,Bouquet - EP,Chainsmokers,Chainsmokers,,Roses (feat. ROZES),225813,5,1430,1,File,2015
"At Night, Alone.",Mike Posner,80,,,Mike Posner,1,256,,Encoded By rgFc (ICQ 5758811),,Mike Posner,2017-07-28T17:23:22Z,2017-12-15T18:58:12Z,1,1,,5,Dance,,Apple Music AAC audio file,1,"file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Mike%20Posner/At%20Night,%20Alone_/13%20I%20Took%20a%20Pill%20In%20Ibiza%20(Seeb%20Remi.m4p",,I Took a Pill In Ibiza (Seeb Remix),,6B40AD41A6CCF36B,87,3595761723,2017-12-10T13:42:03Z,,,,80,,2016-05-06T07:00:00Z,44100,7061913,2,2017-11-13T14:44:34Z,"At Night, Alone.",Chainsmokers,Mike Posner,,I Took a Pill In Ibiza (Seeb Remix),197933,18,1432,13,File,2015
PRISM (Deluxe),Katy Perry,80,,,Katy Perry,1,256,,Encoded By rgFc (ICQ 5758811),,"Katy Perry, Lukasz Gottwald, Max Martin, Bonnie McKee & Henry Walter",2017-07-28T17:23:29Z,2017-07-28T17:23:29Z,1,1,,5,Pop,,Apple Music AAC audio file,1,"file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Mike%20Posner/At%20Night,%20Alone_/13%20I%20Took%20a%20Pill%20In%20Ibiza%20(Seeb%20Remi.m4p",,Roar,,CA6D1495A0028901,6,3608619521,2018-05-08T08:18:41Z,,,,80,,2013-08-10T07:00:00Z,44100,8003870,2,2017-11-13T14:44:34Z,PRISM (Deluxe),Chainsmokers,Katy Perry,,Roar,223546,16,1434,1,Remote,2013
Native (Gold Edition),OneRepublic,80,,,OneRepublic,1,256,,Encoded By rgFc (ICQ 5758811),,Ryan Tedder,2017-07-28T17:23:33Z,2017-07-28T17:23:33Z,1,1,,5,Pop,,Apple Music AAC audio file,1,"file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Mike%20Posner/At%20Night,%20Alone_/13%20I%20Took%20a%20Pill%20In%20Ibiza%20(Seeb%20Remi.m4p",,Counting Stars,,1E494156D23E3E5B,6,3611812465,2018-06-14T07:14:25Z,,,,80,,2014-04-14T07:00:00Z,44100,9024225,1,2017-10-01T10:46:59Z,Native (Gold Edition),Chainsmokers,OneRepublic,,Counting Stars,257286,19,1436,1,Remote,2014
Hundred Miles (feat. Gabriela Richardson) - Single,Yall,80,,,Yall,1,256,,Encoded By rgFc (ICQ 5758811),,"Gabriela Richardson, Joan Sala & David Borras",2017-07-28T17:26:42Z,2017-07-28T17:26:42Z,1,1,,5,Dance,,Apple Music AAC audio file,1,"file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Apple%20Music/Mike%20Posner/At%20Night,%20Alone_/13%20I%20Took%20a%20Pill%20In%20Ibiza%20(Seeb%20Remi.m4p",,Hundred Miles (feat. Gabriela Richardson),,AA11A7610BBA2738,9,3601975065,2018-02-20T11:37:45Z,,,,80,,2015-10-16T07:00:00Z,44100,6298592,2,2017-10-05T11:47:15Z,Hundred Miles (feat. Gabriela Richardson) - Single,Chainsmokers,Yall,,Hundred Miles (feat. Gabriela Richardson),172413,1,1438,1,Remote,2015
