Apple Music,Artist,Artwork Count,Bit Rate,Date Added,Date Modified,Genre,Kind,Music Video,Name,Persistent ID,Play Count,Play Date,Play Date UTC,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Artist,Sort Name,Total Time,Track ID,Track Type,Year
,Scorpions,1,256,2017-07-29T12:04:19Z,2017-07-29T12:04:19Z,Rock,MPEG-4 video file,,Rhythm of Love,70A8AD3C8864EA97,3,3593257518,2017-11-11T14:05:18Z,2004-01-01T08:00:00Z,44100,54006656,1,2017-11-07T13:23:30Z,Scorpions,Rhythm of Love,235735,1786,Remote,2004
,Heart,1,256,2017-07-30T03:57:37Z,2017-07-30T03:57:37Z,Rock,MPEG-4 video file,,Stairway to Heaven (Live at the Kennedy Center Honors) [feat. Jason Bonham],48D609D504699C3E,6,3593116100,2017-11-09T22:48:20Z,2012-12-26T08:00:00Z,44100,104040123,1,2017-11-07T13:23:30Z,Heart,Stairway to Heaven (Live at the Kennedy Center Honors) [feat. Jason Bonham],478478,1932,Remote,2012
