Album,Album Artist,Album Rating,Album Rating Computed,Artist,Artwork Count,Bit Rate,Clean,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,File Folder Count,Genre,Kind,Library Folder Count,Location,Loved,Name,Part Of Gapless Album,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Composer,Sort Name,Total Time,Track Count,Track ID,Track Number,Track Type,Year
Greatest Hits,Ace of Base,,,Ace of Base,1,256,,,Jonas Berggren,2016-08-31T16:35:05Z,2017-08-16T17:18:07Z,1,1,5,Pop,Purchased AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/Ace%20of%20Base/Greatest%20Hits/14%20C'est%20la%20Vie%20(Always%2021).m4a,,C'est la Vie (Always 21),,97226A655D8AEC5F,5,,,,,,1999-10-25T07:00:00Z,44100,7330273,1,,Greatest Hits,,Ace of Base,,C'est la Vie (Always 21),207000,20,1114,14,File,1999
Greatest Hits,Ace of Base,,,Ace of Base,1,256,,,"Jonas Berggren, Ulf Ekberg, Jenny Berggren & Linn Berggren",2016-08-31T16:35:05Z,2018-05-05T18:35:20Z,1,1,5,Pop,Purchased AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/Ace%20of%20Base/Greatest%20Hits/20%20Love%20In%20December.m4a,,Love In December,,56228EF26B4DC223,9,3608631793,2018-05-08T11:43:13Z,,,,1999-11-12T08:00:00Z,44100,8714912,3,,Greatest Hits,,Ace of Base,,Love In December,240066,20,1116,20,File,1999
Sultans of Swing - The Very Best of Dire Straits,Dire Straits,80,,Dire Straits,1,256,,,Mark Knopfler,2016-02-04T05:25:23Z,2017-08-16T17:29:07Z,1,1,5,Rock,Purchased AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/Dire%20Straits/Sultans%20of%20Swing%20-%20The%20Very%20Best%20of%20Dire/15%20Your%20Latest%20Trick%20(Live).m4a,,Your Latest Trick (Live),,40A81D05C49C7299,14,3590664218,2017-10-12T12:43:38Z,,80,,1993-05-10T07:00:00Z,44100,11911219,2,,Sultans of Swing - The Very Best of Dire Straits,,Dire Straits,,Your Latest Trick (Live),338400,16,1118,15,File,1993
Greatest Hits,Ace of Base,80,,Ace of Base,1,256,,,Jonas Berggren,2016-08-31T16:35:05Z,2018-05-05T18:35:38Z,1,1,5,Pop,Purchased AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/Ace%20of%20Base/Greatest%20Hits/02%20The%20Sign.m4a,,The Sign,,7B419E5231EC613D,4,3603789739,2018-03-13T11:42:19Z,,80,,1993-01-01T08:00:00Z,44100,6890915,1,,Greatest Hits,,Ace of Base,,Sign,189786,20,1120,2,File,1993
Sultans of Swing - The Very Best of Dire Straits,Dire Straits,80,,Dire Straits,1,256,,,Mark Knopfler,2016-02-04T05:25:23Z,2016-02-04T05:25:23Z,1,1,5,Rock,Purchased AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/Ace%20of%20Base/Greatest%20Hits/02%20The%20Sign.m4a,,So Far Away,,AE66269ECEED6A39,77,3608407049,2018-05-05T21:17:29Z,,80,,1985-04-01T08:00:00Z,44100,8468304,2,,Sultans of Swing - The Very Best of Dire Straits,,Dire Straits,,So Far Away,240000,16,1122,8,Remote,1985
Sultans of Swing - The Very Best of Dire Straits,Dire Straits,80,,Dire Straits,1,256,,,Mark Knopfler,2016-02-04T05:25:23Z,2016-02-04T05:25:23Z,1,1,5,Rock,Purchased AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/Ace%20of%20Base/Greatest%20Hits/02%20The%20Sign.m4a,,Brothers in Arms,,3651361E08AB5430,11,3594042375,2017-11-20T16:06:15Z,,80,,1985-05-01T07:00:00Z,44100,10210963,3,2017-08-22T06:44:13Z,Sultans of Swing - The Very Best of Dire Straits,,Dire Straits,,Brothers in Arms,290760,16,1124,10,Remote,1985
Sultans of Swing - The Very Best of Dire Straits,Dire Straits,80,,Dire Straits,1,256,,,Mark Knopfler,2016-02-04T05:25:23Z,2016-02-04T05:25:23Z,1,1,5,Rock,Purchased AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/Ace%20of%20Base/Greatest%20Hits/02%20The%20Sign.m4a,,Love Over Gold (Live),,30724457CF6E2FC5,12,3607318637,2018-04-23T06:57:17Z,,80,,1984-03-16T08:00:00Z,44100,7798764,1,2017-08-18T08:06:11Z,Sultans of Swing - The Very Best of Dire Straits,,Dire Straits,,Love Over Gold (Live),216333,16,1126,7,Remote,1984
Greatest Hits,Bruce Springsteen,100,,Bruce Springsteen,1,256,,,Bruce Springsteen,2016-10-20T23:11:24Z,2017-08-05T18:38:50Z,1,1,5,Rock,Purchased AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/Bruce%20Springsteen/Greatest%20Hits/15%20Secret%20Garden.m4a,,Secret Garden,,616DC5DCCB1ABDFD,108,3595353587,2017-12-05T20:19:47Z,,100,,1995-02-27T08:00:00Z,44100,9390907,4,2018-05-29T16:33:56Z,Greatest Hits,,Bruce Springsteen,,Secret Garden,266600,18,1128,15,File,1995
Greatest Hits,Bruce Springsteen,100,,Bruce Springsteen,1,256,,,Bruce Springsteen,2016-10-20T23:11:24Z,2017-08-05T18:38:51Z,1,1,5,Rock,Purchased AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/Bruce%20Springsteen/Greatest%20Hits/14%20Streets%20of%20Philadelphia.m4a,,Streets of Philadelphia,,6940E8F4E9BB705B,27,3603792607,2018-03-13T12:30:07Z,,100,,1993-01-01T08:00:00Z,44100,6958600,4,2018-05-29T16:33:56Z,Greatest Hits,,Bruce Springsteen,,Streets of Philadelphia,195293,18,1130,14,File,1993
It Ain't Me - Single,Kygo & Selena Gomez,100,,Kygo & Selena Gomez,1,256,,,"Kygo, Selena Gomez, Andrew Wotman, Brian Lee & Ali Tamposi",2017-06-14T11:00:42Z,2017-08-05T18:35:44Z,1,1,5,Pop,Purchased AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/Kygo%20&%20Selena%20Gomez/It%20Ain't%20Me%20-%20Single/01%20It%20Ain't%20Me.m4a,,It Ain't Me,,C97ECA379346E468,70,3597943898,2018-01-04T19:51:38Z,,100,,2017-02-17T08:00:00Z,44100,8440588,2,2018-05-29T16:33:56Z,It Ain't Me - Single,,Kygo & Selena Gomez,,It Ain't Me,220780,1,1132,1,File,2017
Greatest Hits,Bruce Springsteen,100,,Bruce Springsteen,1,256,,,Bruce Springsteen,2016-10-20T23:11:24Z,2017-08-05T18:38:56Z,1,1,5,Rock,Purchased AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/Bruce%20Springsteen/Greatest%20Hits/04%20The%20River.m4a,,The River,,445796D02133A1C6,113,3608492057,2018-05-06T20:54:17Z,,100,,1980-10-17T07:00:00Z,44100,10409776,4,2018-05-14T15:55:49Z,Greatest Hits,,Bruce Springsteen,,River,299226,18,1134,4,File,1980
Greatest Hits,Bruce Springsteen,100,,Bruce Springsteen,1,256,,,Bruce Springsteen,2016-10-20T23:11:24Z,2017-08-05T18:39:04Z,1,1,5,Rock,Purchased AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/Bruce%20Springsteen/Greatest%20Hits/05%20Hungry%20Heart.m4a,,Hungry Heart,,1C5B16CB953C228B,120,3608492020,2018-05-06T20:53:40Z,,100,,1980-10-17T07:00:00Z,44100,7001718,4,2018-05-14T15:55:49Z,Greatest Hits,,Bruce Springsteen,,Hungry Heart,198026,18,1136,5,File,1980
Songs of Innocence,U2,100,,U2,1,256,,,Bono/The Edge/U2,2014-09-07T04:39:01Z,2016-02-04T01:22:45Z,1,1,5,Rock,Purchased AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/U2/Songs%20of%20Innocence/01%20The%20Miracle%20(Of%20Joey%20Ramone).m4a,,The Miracle (Of Joey Ramone),,41812668DAF8EB9F,33,3608396562,2018-05-05T18:22:42Z,,100,,2014-09-09T07:00:00Z,44100,9300291,5,2018-05-14T15:55:49Z,Songs of Innocence,,U2,,Miracle (Of Joey Ramone),255382,11,2020,1,File,2014
Songs of Innocence,U2,100,,U2,1,256,,,Bono/The Edge/U2,2014-09-07T04:39:01Z,2016-01-17T16:01:24Z,1,1,5,Rock,Purchased AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/U2/Songs%20of%20Innocence/02%20Every%20Breaking%20Wave.m4a,,Every Breaking Wave,,EAC50C1401EC071B,35,3599129994,2018-01-18T13:19:54Z,,100,,2014-09-09T07:00:00Z,44100,8842208,5,2018-05-14T15:55:49Z,Songs of Innocence,,U2,,Every Breaking Wave,252162,11,2022,2,File,2014
Songs of Innocence,U2,100,,U2,1,256,,,Bono/The Edge/U2,2014-09-07T04:39:01Z,2016-01-17T09:04:02Z,1,1,5,Rock,Purchased AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/U2/Songs%20of%20Innocence/03%20California%20(There%20Is%20No%20End%20to%20Lo.m4a,,California (There Is No End to Love),,62FD74CAF849E015,31,3586807865,2017-08-28T21:31:05Z,,100,,2014-09-09T07:00:00Z,44100,8465279,5,2018-05-14T15:55:49Z,Songs of Innocence,,U2,,California (There Is No End to Love),239846,11,2024,3,File,2014
Songs of Innocence,U2,100,,U2,1,256,,,Bono/The Edge/U2,2014-09-07T04:39:01Z,2016-01-17T16:00:15Z,1,1,5,Rock,Purchased AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/U2/Songs%20of%20Innocence/04%20Song%20for%20Someone.m4a,,Song for Someone,,9E5F18418F09F369,25,3586807865,2017-08-28T21:31:05Z,,100,,2014-09-09T07:00:00Z,44100,8024225,6,2018-05-14T15:55:49Z,Songs of Innocence,,U2,,Song for Someone,226763,11,2026,4,File,2014
Songs of Innocence,U2,100,,U2,1,256,,,Bono/The Edge/U2,2014-09-07T04:39:01Z,2016-02-04T01:22:45Z,1,1,5,Rock,Purchased AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/U2/Songs%20of%20Innocence/05%20Iris%20(Hold%20Me%20Close).m4a,,Iris (Hold Me Close),,51FAB4F534F7DE43,25,3602160930,2018-02-22T15:15:30Z,,100,,2014-09-09T07:00:00Z,44100,11149865,1,2017-10-26T09:15:41Z,Songs of Innocence,,U2,,Iris (Hold Me Close),319457,11,2028,5,File,2014
Songs of Innocence,U2,100,,U2,1,256,,,Bono/The Edge/U2,2014-09-07T04:39:01Z,2016-02-04T01:22:45Z,1,1,5,Rock,Purchased AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/U2/Songs%20of%20Innocence/06%20Volcano.m4a,,Volcano,,A5BFEB693910D320,29,3590593187,2017-10-11T16:59:47Z,,100,,2014-09-09T07:00:00Z,44100,6904386,2,2017-10-26T09:15:41Z,Songs of Innocence,,U2,,Volcano,194116,11,2030,6,File,2014
Songs of Innocence,U2,100,,U2,1,256,,,Bono/The Edge/U2,2014-09-07T04:39:01Z,2016-01-17T16:03:26Z,1,1,5,Rock,Purchased AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/U2/Songs%20of%20Innocence/07%20Raised%20By%20Wolves.m4a,,Raised By Wolves,,83583DFDF7CA4E5C,23,3596018951,2017-12-13T13:09:11Z,,100,,2014-09-09T07:00:00Z,44100,8636426,3,2017-09-20T17:02:26Z,Songs of Innocence,,U2,,Raised By Wolves,245598,11,2032,7,File,2014
Songs of Innocence,U2,100,,U2,1,256,,,Bono/The Edge/U2,2014-09-07T04:39:01Z,2016-01-17T16:04:06Z,1,1,5,Rock,Purchased AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/U2/Songs%20of%20Innocence/08%20Cedarwood%20Road.m4a,,Cedarwood Road,,B226171CCE2BB8BB,30,3608399924,2018-05-05T19:18:44Z,,100,,2014-09-09T07:00:00Z,44100,9336108,4,2017-09-20T17:02:26Z,Songs of Innocence,,U2,,Cedarwood Road,265267,11,2034,8,File,2014
Songs of Innocence,U2,100,,U2,1,256,,,Bono/The Edge/U2,2014-09-07T04:39:01Z,2016-02-04T01:22:45Z,1,1,5,Rock,Purchased AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/U2/Songs%20of%20Innocence/09%20Sleep%20Like%20a%20Baby%20Tonight.m4a,,Sleep Like a Baby Tonight,,205C6A085BEBA7AB,36,3608397361,2018-05-05T18:36:01Z,,100,,2014-09-09T07:00:00Z,44100,10414554,2,2017-09-20T17:02:26Z,Songs of Innocence,,U2,,Sleep Like a Baby Tonight,301641,11,2036,9,File,2014
Songs of Innocence,U2,100,,U2,1,256,,,Bono/The Edge/U2,2014-09-07T04:39:01Z,2016-01-17T16:04:23Z,1,1,5,Rock,Purchased AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/U2/Songs%20of%20Innocence/10%20This%20Is%20Where%20You%20Can%20Reach%20Me%20No.m4a,,This Is Where You Can Reach Me Now,,AB90A9B40910909D,30,3596485495,2017-12-18T22:44:55Z,,100,,2014-09-09T07:00:00Z,44100,10715123,2,2017-09-20T17:02:26Z,Songs of Innocence,,U2,,This Is Where You Can Reach Me Now,305133,11,2038,10,File,2014
Songs of Innocence,U2,100,,U2,1,256,,,Bono/The Edge/U2,2014-09-07T04:39:01Z,2016-02-04T01:22:45Z,1,1,5,Rock,Purchased AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/U2/Songs%20of%20Innocence/11%20The%20Troubles.m4a,,The Troubles,,AC75ED414F91A4B8,25,3587194619,2017-09-02T08:56:59Z,,100,,2014-09-09T07:00:00Z,44100,9928436,5,2017-10-15T11:32:40Z,Songs of Innocence,,U2,,Troubles,285842,11,2040,11,File,2014
Brothers In Arms,Dire Straits,100,,Dire Straits,1,256,,,Mark Knopfler,2015-02-25T16:39:46Z,2017-08-20T13:59:42Z,1,1,5,Rock,Purchased AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/Dire%20Straits/Brothers%20In%20Arms/09%20Brothers%20In%20Arms%20(Remastered).m4a,,Brothers In Arms (Remastered),,E2DB3290B4589F58,27,3588181036,2017-09-13T18:57:16Z,,100,,1985-01-01T08:00:00Z,44100,14346613,3,2017-10-15T11:32:40Z,Brothers In Arms,,Dire Straits,,Brothers In Arms (Remastered),424000,9,2042,9,File,1985
Sacred Chants for Slow Yoga,Indiajiva,100,,Indiajiva,1,256,,,Traditional,2015-03-01T19:17:37Z,2017-08-09T18:22:35Z,1,1,5,New Age,Purchased AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/Indiajiva/Sacred%20Chants%20for%20Slow%20Yoga/09%20Abwoon%20D'bashmaya.m4a,,Abwoon D'bashmaya,,8B71E637ABA3BB17,90,3602826021,2018-03-02T08:00:21Z,,100,,2014-05-27T07:00:00Z,44100,9917846,10,2017-10-02T18:30:44Z,Sacred Chants for Slow Yoga,,Indiajiva,,Abwoon D'bashmaya,282653,9,2044,9,File,2005
Requiem for a Dream,Clint Mansell,100,,Clint Mansell,1,256,,,Clint Mansell,2015-03-10T16:23:54Z,2017-08-09T18:22:35Z,1,1,5,Pop,Purchased AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/Clint%20Mansell/Requiem%20for%20a%20Dream/01%20Summer%20Overture.m4a,,Summer Overture,,BAC8911F345B8E8E,55,3608631222,2018-05-08T11:33:42Z,,100,,2000-10-03T07:00:00Z,44100,5670923,2,2017-10-02T18:30:44Z,Requiem for a Dream,,Clint Mansell,,Summer Overture,156813,33,2046,1,File,2000
Now That's What I Call Dance 2013,Various Artists,100,,Empire of the Sun,1,256,,,"Luke Steele, Nick Littlemore, Steven Bach, Jonathan Sloan & Peter Mayes",2015-03-10T15:25:09Z,2016-01-17T09:27:49Z,1,1,5,Pop,Purchased AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/Compilations/Now%20That's%20What%20I%20Call%20Dance%202013/10%20Alive%20(David%20Guetta%20Remix).m4a,,Alive (David Guetta Remix),,57B6A0BFDAB2C51E,27,3608631222,2018-05-08T11:33:42Z,,100,,2013-01-01T08:00:00Z,44100,12168156,3,2017-10-30T07:37:43Z,Now That's What I Call Dance 2013,,Empire of the Sun,,Alive (David Guetta Remix),347944,18,2048,10,File,2013
Hot Right Now,Various Artists,100,,Charli XCX,1,256,,,"Patrik Berger, Charlotte Aitchison, Fredrik Berger & Stefan Gräslund",2015-03-10T17:48:45Z,2016-01-17T09:02:13Z,1,1,5,Pop,Purchased AAC audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/Compilations/Hot%20Right%20Now/09%20Boom%20Clap.m4a,,Boom Clap,,AE3755DE5680BB81,55,3594215325,2017-11-22T16:08:45Z,,100,,2014-11-12T08:00:00Z,44100,6136159,11,2017-10-30T07:37:43Z,Hot Right Now,,Charli XCX,,Boom Clap,169866,18,2050,9,File,2014
"Dance (RED) Save Lives, Vol. 2",Various Artists,60,,Baauer & RL Grime,1,256,,,Harry Rodrigues & Henry Steinway,2015-03-12T07:29:16Z,2016-01-17T15:58:20Z,1,1,5,Dance,Purchased AAC audio file,1,"file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/Compilations/Dance%20(RED)%20Save%20Lives,%20Vol.%202/12%20Infinite%20Daps.m4a",,Infinite Daps,,31872946E13B3C27,19,3608376034,2018-05-05T12:40:34Z,,60,,2013-11-22T08:00:00Z,44100,9909738,8,2017-07-29T04:35:22Z,"Dance (RED) Save Lives, Vol. 2",,Baauer & RL Grime,,Infinite Daps,272440,24,2052,12,File,2013
"Dance (RED) Save Lives, Vol. 2",Various Artists,60,,Banks,1,256,,,Banks & SOHN,2015-03-12T07:29:16Z,2016-01-17T16:15:46Z,1,1,5,Dance,Purchased AAC audio file,1,"file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/Compilations/Dance%20(RED)%20Save%20Lives,%20Vol.%202/11%20Waiting%20Game%20(Kaytranada%20Edition).m4a",,Waiting Game (Kaytranada Edition),,FF034EFEF648AFEE,20,3608369427,2018-05-05T10:50:27Z,,60,,2013-11-22T08:00:00Z,44100,9638646,3,2017-07-29T04:35:22Z,"Dance (RED) Save Lives, Vol. 2",,Banks,,Waiting Game (Kaytranada Edition),276373,24,2054,11,File,2013
"Dance (RED) Save Lives, Vol. 2",Various Artists,60,,Bingo Players,1,256,,,Paul Baumer & Frederik Hoogstraten,2015-03-12T07:29:16Z,2017-10-01T12:16:03Z,1,1,5,Dance,Purchased AAC audio file,1,"file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/Compilations/Dance%20(RED)%20Save%20Lives,%20Vol.%202/14%20Buzzcut%20(Popeska%20Remix).m4a",,Buzzcut (Popeska Remix),,504DD9F5569C8D2A,21,3590410949,2017-10-09T14:22:29Z,,60,,2013-01-01T08:00:00Z,44100,6760122,4,2018-01-21T01:01:59Z,"Dance (RED) Save Lives, Vol. 2",,Bingo Players,,Buzzcut (Popeska Remix),179760,24,2056,14,File,2013
"Dance (RED) Save Lives, Vol. 2",Various Artists,60,,Bob Marley & The Wailers,1,256,,,Bob Marley,2015-03-12T07:29:16Z,2016-01-17T15:56:06Z,1,1,5,Dance,Purchased AAC audio file,1,"file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/Compilations/Dance%20(RED)%20Save%20Lives,%20Vol.%202/06%20Sun%20Is%20Shining%20(Jesse%20Rose's%20'Boo.m4a",,Sun Is Shining (Jesse Rose's 'Bootleg' Mix),,859709856C69627B,31,3608457165,2018-05-06T11:12:45Z,,60,,2013-11-22T08:00:00Z,44100,12807415,8,2017-11-18T23:32:26Z,"Dance (RED) Save Lives, Vol. 2",,Bob Marley & The Wailers,,Sun Is Shining (Jesse Rose's 'Bootleg' Mix),346146,24,2058,6,File,2013
"Dance (RED) Save Lives, Vol. 2",Various Artists,60,,Calvin Harris,1,256,,,Calvin Harris & Ellie Goulding,2015-03-12T07:29:16Z,2016-01-17T16:12:55Z,1,1,5,Dance,Purchased AAC audio file,1,"file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/Compilations/Dance%20(RED)%20Save%20Lives,%20Vol.%202/07%20I%20Need%20Your%20Love%20(feat.%20Ellie%20Gou.m4a",,I Need Your Love (feat. Ellie Goulding) [R3hab Remix],,585A06D9ADA935C9,13,3600,2040-02-06T06:04:16Z,,60,,2013-11-22T08:00:00Z,44100,8565300,4,2018-04-26T15:49:28Z,"Dance (RED) Save Lives, Vol. 2",,Calvin Harris,,I Need Your Love (feat. Ellie Goulding) [R3hab Remix],244160,24,2060,7,File,2013
"Dance (RED) Save Lives, Vol. 2",Various Artists,60,,Capital Cities,1,256,,,Ryan Merchant & Sebu Simonian,2015-03-12T07:29:16Z,2016-01-17T09:05:38Z,1,1,5,Dance,Purchased AAC audio file,1,"file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/Compilations/Dance%20(RED)%20Save%20Lives,%20Vol.%202/10%20Kangaroo%20Court%20(Robert%20DeLong%20Rem.m4a",,Kangaroo Court (Robert DeLong Remix),,1333387108A60DD5,30,3606749566,2018-04-16T16:52:46Z,,60,,2013-11-22T08:00:00Z,44100,6300963,4,2017-12-17T23:23:08Z,"Dance (RED) Save Lives, Vol. 2",,Capital Cities,,Kangaroo Court (Robert DeLong Remix),176933,24,2062,10,File,2013
"Dance (RED) Save Lives, Vol. 2",Various Artists,60,,Chuckie,1,256,,,"Rachel Moulden, Tor Erik Hermansen, Mikkel S. Eriksen, Clyde Sergio Narain & GLOWINTHEDARK",2015-03-12T07:29:16Z,2017-08-30T16:54:44Z,1,1,5,Dance,Purchased AAC audio file,1,"file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/Compilations/Dance%20(RED)%20Save%20Lives,%20Vol.%202/23%20Skydive%20(feat.%20Maiday)%20%5BCandyland.m4a",,Skydive (feat. Maiday) [Candyland Remix],,504DD9F5569C8D39,10,3596021034,2017-12-13T13:43:54Z,,60,,2013-01-01T08:00:00Z,44100,6592808,4,2017-12-17T23:23:08Z,"Dance (RED) Save Lives, Vol. 2",,Chuckie,,Skydive (feat. Maiday) [Candyland Remix],182613,24,2064,23,File,2013
"Dance (RED) Save Lives, Vol. 2",Various Artists,60,,Claire,1,256,,,"Matthias Hauck, Nepomuk Heller, Florian Kiermaier & Josie Claire Bürkle",2015-03-12T07:29:16Z,2016-01-17T16:17:42Z,1,1,5,Dance,Purchased AAC audio file,1,"file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/Compilations/Dance%20(RED)%20Save%20Lives,%20Vol.%202/13%20Broken%20Promise%20Land%20(Giorgio%20Moro.m4a",,Broken Promise Land (Giorgio Moroder Remix & Vocoder),,0B048AC1422432FD,22,3593600907,2017-11-15T13:28:27Z,,60,,2013-11-22T08:00:00Z,44100,9256147,3,2017-12-17T23:23:08Z,"Dance (RED) Save Lives, Vol. 2",,Claire,,Broken Promise Land (Giorgio Moroder Remix & Vocoder),262546,24,2066,13,File,2013
"Dance (RED) Save Lives, Vol. 2",Various Artists,60,,Coldplay,1,256,,,"Guy Berryman, Jonny Buckland, Will Champion, Chris Martin, Christensen, Castoni, Lagonda, Wycombe, Peter Allen, Adrienne Anderson & Brian Eno",2015-03-12T07:29:16Z,2017-08-09T18:22:30Z,1,1,5,Dance,Purchased AAC audio file,1,"file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/Compilations/Dance%20(RED)%20Save%20Lives,%20Vol.%202/02%20Every%20Teardrop%20Is%20a%20Waterfall%20(Co.m4a",,Every Teardrop Is a Waterfall (Coldplay vs. Swedish House Mafia),,526CA3366354CAEB,18,3593600907,2017-11-15T13:28:27Z,,60,,2013-11-22T08:00:00Z,44100,14326632,6,2018-01-02T14:08:46Z,"Dance (RED) Save Lives, Vol. 2",,Coldplay,,Every Teardrop Is a Waterfall (Coldplay vs. Swedish House Mafia),409653,24,2068,2,File,2011
"Dance (RED) Save Lives, Vol. 2",Various Artists,60,,Dada Life & Josh Wink,1,256,,,Josh Wink,2015-03-12T07:29:16Z,2016-05-18T01:48:18Z,1,1,5,Dance,Purchased AAC audio file,1,"file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/Compilations/Dance%20(RED)%20Save%20Lives,%20Vol.%202/08%20Higher%20State%20of%20Dada%20Land.m4a",,Higher State of Dada Land,,504DD9F5569C8D2D,3,3600,2040-02-06T06:04:16Z,,60,,2013-01-01T08:00:00Z,44100,9163566,9,2018-04-26T15:57:01Z,"Dance (RED) Save Lives, Vol. 2",,Coldplay,,Every Teardrop Is a Waterfall (Coldplay vs. Swedish House Mafia),261786,24,2070,8,File,2013
"Dance (RED) Save Lives, Vol. 2",Various Artists,60,,deadmau5 vs. Eric Prydz,1,256,,,Chris James & Joel Zimmerman,2015-03-12T07:29:16Z,2016-01-17T16:15:06Z,1,1,5,Dance,Purchased AAC audio file,1,"file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/Compilations/Dance%20(RED)%20Save%20Lives,%20Vol.%202/17%20The%20Veldt%20(feat.%20Chris%20James)%20%5BEd.m4a",,The Veldt (feat. Chris James) [Edit],,D9F629CE8C2FC74C,26,3608382944,2018-05-05T14:35:44Z,,60,,2013-11-22T08:00:00Z,44100,13303453,10,2017-10-05T04:21:16Z,"Dance (RED) Save Lives, Vol. 2",,deadmau5 vs. Eric Prydz,,Veldt (feat. Chris James) [Edit],388573,24,2072,17,File,2013
"Dance (RED) Save Lives, Vol. 2",Various Artists,60,,Empire of the Sun & Tommy Trash,1,256,,,"Luke Steele, Nick Littlemore, Peter Mayes, Jonathan Sloan, Daniel Johns & Scott Horscroft",2015-03-12T07:29:16Z,2016-01-17T09:27:37Z,1,1,5,Dance,Purchased AAC audio file,1,"file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Music/Compilations/Dance%20(RED)%20Save%20Lives,%20Vol.%202/04%20Celebrate%20(Tommy%20Trash%20Remix).m4a",,Celebrate (Tommy Trash Remix),,C86CBEE1A91CA32F,34,3606749388,2018-04-16T16:49:48Z,,60,,2013-11-22T08:00:00Z,44100,7225260,6,2017-12-07T19:20:19Z,"Dance (RED) Save Lives, Vol. 2",,Empire of the Sun & Tommy Trash,,Celebrate (Tommy Trash Remix),202613,24,2074,4,File,2013
