Album,Artist,Artwork Count,Bit Rate,Date Added,Date Modified,File Folder Count,Genre,Has Video,Kind,Library Folder Count,Location,Movie,Name,Persistent ID,Play Count,Play Date,Play Date UTC,Podcast,Purchased,Release Date,Sample Rate,Size,Total Time,Track ID,Track Number,Track Type,Unplayed,Year
Learn Polish | PolishPod101.com,PolishPod101.com,1,192,2017-08-05T19:59:06Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,file://localhost/C:/Users/Leo/Music/iTunes/iTunes%20Media/Podcasts/Learn%20Polish%20_%20PolishPod101.com/02%20Absolute%20Beginner%20Lesson%20%232%20-%20Fir.mp3,,Absolute Beginner Lesson #2 - First Meetings in Poland,271B80A92DB30E4C,,,,,,2001-01-01T00:00:00Z,44100,14244068,591412,2006,2,File,,2013
Learn Polish | PolishPod101.com,PolishPod101.com,1,192,2017-08-06T06:57:03Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,http://traffic.libsyn.com/PolishPod101/FSOM_feb_Polish.mp4,,FREE Polish Stuff of the Month - February 2017,CCFEDD004E32F928,1,,,,,2017-02-28T00:00:00Z,44100,7078205,76000,2790,2,URL,,2013
Learn Polish | PolishPod101.com,PolishPod101.com,1,192,2017-08-06T06:57:03Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,https://traffic.libsyn.com/PolishPod101/Polish-FSOTM-3-2017_ILL_1080p_ILL_iPhone_360p.mp4,,Ends in 3 Days! Get Your FREE Polish Learning Gifts for March 2017!,CB13C0D926558578,1,,,,,2017-04-03T05:00:00Z,44100,14059667,123000,2792,2,URL,,2013
Learn Polish | PolishPod101.com,PolishPod101.com,1,192,2017-08-06T06:57:03Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,https://traffic.libsyn.com/PolishPod101/powerup_Polish.mp4,,Want to Learn Polish with Easy Lessons by Real Teachers?,43CB04BB2ADADC3F,1,,,,,2017-07-18T05:00:00Z,44100,4603572,57000,2794,2,URL,,2013
Learn Polish | PolishPod101.com,PolishPod101.com,1,192,2017-08-06T06:57:03Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,https://media.libsyn.com/media/polishpod101/polish_pubfeed_l1.mp3,,How This Feed Works,141CDEC23A45F274,1,,,,,2005-12-13T20:38:53Z,44100,1412727,88000,2796,2,URL,,2013
Learn Polish | PolishPod101.com,PolishPod101.com,1,192,2017-08-06T06:57:03Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,https://media.libsyn.com/media/polishpod101/ALL_S1L1_010212_ppod101.mp3,,All About #1 - Top 5 Reasons to Study Polish!,A2D6EF10EF41C1C5,1,,,,,2014-10-29T05:45:59Z,44100,11350785,483000,2798,2,URL,,2013
Learn Polish | PolishPod101.com,PolishPod101.com,1,192,2017-08-06T06:57:03Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,https://media.libsyn.com/media/polishpod101/ALL_S1L2_010912_ppod101.mp3,,All About #2 - Cracking the Polish Writing System!,BEAFCFFDD7479F68,1,,,,,2014-10-29T09:27:00Z,44100,8709293,364000,2800,2,URL,,2013
Learn Polish | PolishPod101.com,PolishPod101.com,1,192,2017-08-06T06:57:03Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,https://media.libsyn.com/media/polishpod101/ALL_S1L3_011612_ppod101.mp3,,All About #3 - Painless Polish Grammar!,4A65BE79CD0AE0FD,1,,,,,2014-10-29T09:30:00Z,44100,21542265,902000,2802,2,URL,,2013
Learn Polish | PolishPod101.com,PolishPod101.com,1,192,2017-08-06T06:57:03Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,https://media.libsyn.com/media/polishpod101/S_S1L1_070510_ppod101.mp3,,Survival Phrases #1 - Thank You!,705397A64CC5288D,1,,,,,2014-10-30T09:24:00Z,44100,3520036,275000,2804,2,URL,,2013
Learn Polish | PolishPod101.com,PolishPod101.com,1,192,2017-08-06T06:57:03Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,https://media.libsyn.com/media/polishpod101/S_S1L2_071210_ppod101.mp3,,Survival Phrases #2 - You're Welcome,BF79A410498C7BE2,1,,,,,2014-10-30T09:28:00Z,44100,3003498,238000,2806,2,URL,,2013
